t,x,y
3.330000,0.274743,0.273629
3.340000,0.277499,0.277578
3.350000,0.280295,0.281510
3.360000,0.283129,0.285426
3.370000,0.286003,0.289324
3.380000,0.288916,0.293203
3.390000,0.291867,0.297061
3.400000,0.294857,0.300898
3.410000,0.297885,0.304713
3.420000,0.300951,0.308504
3.430000,0.304055,0.312271
3.440000,0.307196,0.316011
3.450000,0.310375,0.319725
3.460000,0.313591,0.323411
3.470000,0.316843,0.327068
3.480000,0.320132,0.330695
3.490000,0.323457,0.334290
3.500000,0.326818,0.337853
3.510000,0.330214,0.341383
3.520000,0.333645,0.344879
3.530000,0.337111,0.348339
3.540000,0.340612,0.351762
3.550000,0.344146,0.355148
3.560000,0.347715,0.358495
3.570000,0.351316,0.361803
3.580000,0.354951,0.365070
3.590000,0.358617,0.368295
3.600000,0.362316,0.371478
3.610000,0.366047,0.374617
3.620000,0.369809,0.377711
3.630000,0.373601,0.380760
3.640000,0.377424,0.383762
3.650000,0.381276,0.386717
3.660000,0.385158,0.389623
3.670000,0.389068,0.392479
3.680000,0.393007,0.395285
3.690000,0.396974,0.398040
3.700000,0.400968,0.400742
3.710000,0.404989,0.403391
3.720000,0.409035,0.405986
3.730000,0.413108,0.408526
3.740000,0.417206,0.411010
3.750000,0.421328,0.413437
3.760000,0.425474,0.415807
3.770000,0.429644,0.418118
3.780000,0.433837,0.420370
3.790000,0.438051,0.422562
3.800000,0.442288,0.424692
3.810000,0.446545,0.426761
3.820000,0.450823,0.428768
3.830000,0.455120,0.430711
3.840000,0.459437,0.432590
3.850000,0.463772,0.434404
3.860000,0.468124,0.436153
3.870000,0.472494,0.437835
3.880000,0.476881,0.439450
3.890000,0.481283,0.440998
3.900000,0.485701,0.442477
3.910000,0.490132,0.443886
3.920000,0.494578,0.445227
3.930000,0.499037,0.446496
3.940000,0.503508,0.447695
3.950000,0.507990,0.448822
3.960000,0.512484,0.449877
3.970000,0.516988,0.450859
3.980000,0.521501,0.451768
3.990000,0.526023,0.452602
4.000000,0.530553,0.453363
4.010000,0.535090,0.454048
4.020000,0.539633,0.454658
4.030000,0.544183,0.455191
4.040000,0.548737,0.455649
4.050000,0.553295,0.456029
4.060000,0.557857,0.456333
4.070000,0.562422,0.456558
4.080000,0.566988,0.456706
4.090000,0.571556,0.456775
4.100000,0.576123,0.456765
4.110000,0.580691,0.456677
4.120000,0.585257,0.456509
4.130000,0.589821,0.456261
4.140000,0.594382,0.455933
4.150000,0.598939,0.455525
4.160000,0.603492,0.455037
4.170000,0.608040,0.454468
4.180000,0.612581,0.453819
4.190000,0.617116,0.453088
4.200000,0.621643,0.452277
4.210000,0.626161,0.451385
4.220000,0.630670,0.450411
4.230000,0.635169,0.449356
4.240000,0.639657,0.448220
4.250000,0.644133,0.447003
4.260000,0.648597,0.445704
4.270000,0.653047,0.444325
4.280000,0.657483,0.442864
4.290000,0.661904,0.441322
4.300000,0.666309,0.439700
4.310000,0.670698,0.437997
4.320000,0.675069,0.436213
4.330000,0.679422,0.434349
4.340000,0.683755,0.432406
4.350000,0.688069,0.430382
4.360000,0.692363,0.428279
4.370000,0.696635,0.426097
4.380000,0.700884,0.423837
4.390000,0.705111,0.421498
4.400000,0.709314,0.419081
4.410000,0.713493,0.416587
4.420000,0.717646,0.414016
4.430000,0.721773,0.411369
4.440000,0.725873,0.408646
4.450000,0.729945,0.405847
4.460000,0.733989,0.402974
4.470000,0.738005,0.400027
4.480000,0.741990,0.397007
4.490000,0.745944,0.393914
4.500000,0.749868,0.390749
4.510000,0.753759,0.387513
4.520000,0.757618,0.384206
4.530000,0.761443,0.380831
4.540000,0.765234,0.377386
4.550000,0.768991,0.373874
4.560000,0.772711,0.370295
4.570000,0.776396,0.366651
4.580000,0.780044,0.362941
4.590000,0.783655,0.359168
4.600000,0.787227,0.355332
4.610000,0.790761,0.351434
4.620000,0.794256,0.347476
4.630000,0.797711,0.343458
4.640000,0.801125,0.339382
4.650000,0.804498,0.335250
4.660000,0.807830,0.331061
4.670000,0.811119,0.326818
4.680000,0.814366,0.322521
4.690000,0.817569,0.318173
4.700000,0.820729,0.313774
4.710000,0.823845,0.309325
4.720000,0.826915,0.304829
4.730000,0.829941,0.300287
4.740000,0.832921,0.295700
4.750000,0.835855,0.291069
4.760000,0.838742,0.286396
4.770000,0.841583,0.281683
4.780000,0.844376,0.276931
4.790000,0.847121,0.272142
4.800000,0.849819,0.267317
4.810000,0.852467,0.262458
4.820000,0.855068,0.257566
4.830000,0.857619,0.252644
4.840000,0.860120,0.247693
4.850000,0.862572,0.242714
4.860000,0.864975,0.237709
4.870000,0.867327,0.232680
4.880000,0.869628,0.227630
4.890000,0.871879,0.222558
4.900000,0.874079,0.217468
4.910000,0.876228,0.212361
4.920000,0.878326,0.207238
4.930000,0.880373,0.202103
4.940000,0.882368,0.196955
4.950000,0.884312,0.191798
4.960000,0.886204,0.186633
4.970000,0.888045,0.181462
4.980000,0.889834,0.176286
4.990000,0.891571,0.171108
5.000000,0.893256,0.165930
5.010000,0.894889,0.160753
5.020000,0.896471,0.155578
5.030000,0.898001,0.150409
5.040000,0.899479,0.145246
5.050000,0.900906,0.140092
5.060000,0.902281,0.134948
5.070000,0.903605,0.129817
5.080000,0.904877,0.124699
5.090000,0.906099,0.119598
5.100000,0.907269,0.114514
5.110000,0.908389,0.109449
5.120000,0.909458,0.104406
5.130000,0.910477,0.099386
5.140000,0.911446,0.094390
5.150000,0.912365,0.089421
5.160000,0.913235,0.084480
5.170000,0.914055,0.079569
5.180000,0.914826,0.074690
5.190000,0.915549,0.069844
5.200000,0.916223,0.065033
5.210000,0.916850,0.060258
5.220000,0.917428,0.055521
5.230000,0.917960,0.050825
5.240000,0.918445,0.046169
5.250000,0.918884,0.041556
5.260000,0.919276,0.036988
5.270000,0.919624,0.032466
5.280000,0.919926,0.027990
5.290000,0.920184,0.023564
5.300000,0.920397,0.019187
5.310000,0.920567,0.014862
5.320000,0.920695,0.010590
5.330000,0.920779,0.006372
5.340000,0.920822,0.002209
5.350000,0.920824,-0.001897
5.360000,0.920785,-0.005946
5.370000,0.920705,-0.009935
5.380000,0.920586,-0.013865
5.390000,0.920428,-0.017733
5.400000,0.920232,-0.021539
5.410000,0.919997,-0.025282
5.420000,0.919726,-0.028961
5.430000,0.919418,-0.032574
